datetime,XGBoost,RandomForest,LSTM,CNN_LSTM,Ensemble,NASA POWER_API
2024-12-15 00:00:00,0.2366773933172226,0.0,4.238347053527832,9.121205,0.0,0.0
2024-12-15 01:00:00,0.21216155588626862,0.0,0.5387470126152039,8.710378,0.0,0.0
2024-12-15 02:00:00,0.0,0.0,0.0,7.0079546,0.0,0.0
2024-12-15 03:00:00,0.0,0.0,0.0,6.6213274,0.0,0.0
2024-12-15 04:00:00,0.0,0.0,1.1898701190948486,7.466008,0.0,0.0
2024-12-15 05:00:00,0.0,0.0,1.9618427753448486,10.816487,0.0,0.0
2024-12-15 06:00:00,2.303957223892212,0.0,19.7690486907959,38.07436,0.0,0.0
2024-12-15 07:00:00,58.865543365478516,52.46845633652022,145.87510681152344,154.83623,69.98542151318475,52.9
2024-12-15 08:00:00,217.12429809570312,201.24512452640408,321.1460266113281,276.9856,223.28465778175305,206.3
2024-12-15 09:00:00,428.0967712402344,508.7392447220055,418.7059631347656,368.14853,455.4061190313803,363.38
2024-12-15 10:00:00,499.4549865722656,488.70121515968225,455.8380432128906,399.3493,484.65672477236905,489.15
2024-12-15 11:00:00,561.3439331054688,524.1027639099079,425.6955261230469,377.53595,522.7290340307601,531.75
2024-12-15 12:00:00,565.1998901367188,525.2299426903953,346.3935241699219,336.16354,515.6748576303573,479.62
2024-12-15 13:00:00,506.1276550292969,458.5594665025364,256.13946533203125,251.56483,449.2819270123916,468.17
2024-12-15 14:00:00,360.00726318359375,336.3891214974312,139.5227813720703,192.94081,321.22659632236116,340.1
2024-12-15 15:00:00,220.3395233154297,164.0906666666371,52.19807815551758,75.32965,174.23797397256305,186.68
2024-12-15 16:00:00,69.30902862548828,36.993779506286124,17.017431259155273,13.019963,48.25936661322917,38.35
2024-12-15 17:00:00,2.9693448543548584,0.0,10.516545295715332,7.8055162,0.0,0.0
2024-12-15 18:00:00,0.7240719199180603,0.0,7.910893440246582,7.2048693,0.0,0.0
2024-12-15 19:00:00,0.0,0.0,7.0285539627075195,8.206639,0.0,0.0
2024-12-15 20:00:00,0.0,0.0,6.2649736404418945,8.84641,0.0,0.0
2024-12-15 21:00:00,0.0,0.0,5.571476936340332,10.424886,0.0,0.0
2024-12-15 22:00:00,0.0,0.0,4.5391130447387695,9.654912,0.0,0.0
2024-12-15 23:00:00,0.24777203798294067,0.0,4.7567644119262695,9.43131,0.0,0.0
