datetime,XGBoost,RandomForest,LSTM,CNN_LSTM,Ensemble
2025-06-15 00:00:00,0.0,0.0,4.238347053527832,9.121205,3.2455702814810516
2025-06-15 01:00:00,0.0,0.0,1.6803791522979736,8.425572,2.4547443717596336
2025-06-15 02:00:00,0.3479926288127899,0.0,2.0400288105010986,8.002812,2.5289630204235474
2025-06-15 03:00:00,0.15775704383850098,0.0,3.5102131366729736,8.186666,2.8821399182041625
2025-06-15 04:00:00,0.024439290165901184,0.0,3.8207600116729736,9.438634,3.227419819425089
2025-06-15 05:00:00,28.072492599487305,29.63469461605376,5.1905412673950195,13.423818,19.353396205928906
2025-06-15 06:00:00,108.10521697998047,89.07634317715541,59.2696418762207,50.28661,77.30084146886992
2025-06-15 07:00:00,237.22134399414062,236.97950306665612,354.695556640625,250.97725,269.05993092397534
2025-06-15 08:00:00,402.61993408203125,399.2796983438122,568.5006713867188,439.30255,450.99870588362285
2025-06-15 09:00:00,492.2519836425781,589.8102428205191,681.8305053710938,524.7854,571.3126399562998
2025-06-15 10:00:00,629.542236328125,614.4973382592383,728.2574462890625,547.5328,629.7588396758913
2025-06-15 11:00:00,687.0598754882812,701.6450489603686,691.4644165039062,534.5353,654.8369194222606
2025-06-15 12:00:00,763.2481079101562,720.0950512689031,603.093994140625,489.77548,646.8077667146752
2025-06-15 13:00:00,742.0353393554688,701.5030928685078,483.65753173828125,397.81638,585.2073093978324
2025-06-15 14:00:00,500.20294189453125,513.7525309036258,340.1650085449219,296.46088,415.29651130058744
2025-06-15 15:00:00,364.5820007324219,414.5680092403937,178.28843688964844,208.53885,294.2396064725598
2025-06-15 16:00:00,213.59088134765625,237.72102446760627,28.93117332458496,75.70534,141.41115605550917
2025-06-15 17:00:00,116.64353942871094,103.99861942860342,5.363469123840332,11.327062,60.76311176200711
2025-06-15 18:00:00,37.80878829956055,39.80062895953711,0.0,5.602193,21.30704978285158
2025-06-15 19:00:00,0.0,0.0,0.0,5.007558,1.21612404801957
2025-06-15 20:00:00,0.0,0.0,0.0,6.357213,1.5438982104083967
2025-06-15 21:00:00,0.0,0.0,2.5521748065948486,6.6406603,2.2332132503898743
2025-06-15 22:00:00,0.0,0.0,6.2115678787231445,6.0959215,2.9905807692412307
2025-06-15 23:00:00,0.0,0.0,7.029423713684082,6.531728,3.2952545343093176
