datetime,XGBoost,RandomForest,LSTM,CNN_LSTM,Ensemble,Open-Meteo_API
2025-10-15 00:00:00,0.005009396933019161,0.0,4.238347053527832,9.121205,0.0,0.0
2025-10-15 01:00:00,0.0,0.0,0.46806830167770386,9.01035,0.0,0.0
2025-10-15 02:00:00,0.0,0.0,0.0,7.6447344,0.0,0.0
2025-10-15 03:00:00,0.0,0.0,0.0,7.426793,0.0,0.0
2025-10-15 04:00:00,0.0,0.0,3.106297731399536,8.089665,0.0,0.0
2025-10-15 05:00:00,0.0,0.0,5.4017229080200195,11.71407,0.0,0.0
2025-10-15 06:00:00,21.442773818969727,28.94345951388954,23.625280380249023,28.131262,0.0,0.0
2025-10-15 07:00:00,145.56491088867188,121.29581763464124,199.821044921875,144.64233,0.0,40.0
2025-10-15 08:00:00,352.16302490234375,364.1569819971129,423.7213439941406,321.42865,78.79520075894023,224.0
2025-10-15 09:00:00,507.44403076171875,573.5658532447364,547.176025390625,428.57288,221.6070262213233,428.0
2025-10-15 10:00:00,614.9309692382812,604.6383540188559,598.6255493164062,492.17758,426.84926313999796,599.0
2025-10-15 11:00:00,647.62548828125,650.010930083771,572.3491821289062,469.16245,609.8891166315598,718.0
2025-10-15 12:00:00,673.3619995117188,642.134813772815,483.9537658691406,399.58316,651.1709225758442,773.0
2025-10-15 13:00:00,611.3152465820312,595.825818374613,345.5690002441406,302.99405,633.7490591022382,759.0
2025-10-15 14:00:00,473.1283874511719,461.40181512488965,200.4573974609375,229.00703,570.0634235713976,678.0
2025-10-15 15:00:00,298.2342834472656,306.8158240663761,59.89200210571289,105.87477,499.1663386987544,536.0
2025-10-15 16:00:00,136.13465881347656,94.0725813519001,10.881108283996582,14.46555,367.1805480637758,349.0
2025-10-15 17:00:00,6.4326863288879395,7.022180067391296,3.6794636249542236,7.4871416,176.258749791258,144.0
2025-10-15 18:00:00,0.0,0.0,1.6457417011260986,5.8663683,0.0,9.0
2025-10-15 19:00:00,0.0,0.0,2.027776002883911,6.430623,0.0,0.0
2025-10-15 20:00:00,0.0,0.0,3.300999879837036,6.9400835,0.0,0.0
2025-10-15 21:00:00,0.0,0.0,5.613621711730957,8.312169,0.0,0.0
2025-10-15 22:00:00,0.0,0.0,7.1897172927856445,8.178227,0.0,0.0
2025-10-15 23:00:00,0.0,0.0,7.976384162902832,7.9595385,0.0,0.0
