datetime,XGBoost,RandomForest,LSTM,CNN_LSTM,Ensemble,Open-Meteo_API
2025-12-05 00:00:00,0.20169587433338165,0.0,4.238347053527832,9.121205,3.297416577672138,0.0
2025-12-05 01:00:00,0.17718000710010529,0.0,0.6650440096855164,8.704473,2.321176396841269,0.0
2025-12-05 02:00:00,0.0,0.0,0.0,6.993413,1.6984042750842032,0.0
2025-12-05 03:00:00,0.0,0.0,0.11787910014390945,6.703206,1.656583730084712,0.0
2025-12-05 04:00:00,0.0,0.0,1.4822132587432861,7.580327,2.201292472648777,0.0
2025-12-05 05:00:00,0.0,0.0,2.2536213397979736,11.169072,3.26038950237861,0.0
2025-12-05 06:00:00,2.083611011505127,0.0,19.939260482788086,37.648502,14.5264031028755,0.0
2025-12-05 07:00:00,58.001014709472656,52.45141550318689,143.6820068359375,155.57812,101.10279617647882,1.0
2025-12-05 08:00:00,213.67849731445312,201.16213563751518,318.3637390136719,277.62573,251.44299355933956,90.0
2025-12-05 09:00:00,424.0505676269531,508.6499178701536,415.4058532714844,364.8437,429.30980794182545,268.0
2025-12-05 10:00:00,492.97003173828125,488.61258460412665,452.5630187988281,390.92108,457.2432686722195,430.0
2025-12-05 11:00:00,554.9901733398438,524.4865168682541,422.03204345703125,371.74945,470.3257150868961,547.0
2025-12-05 12:00:00,563.5528564453125,525.1723586324244,343.48681640625,327.9087,442.96024649178423,605.0
2025-12-05 13:00:00,499.3733825683594,458.5594665025364,251.64576721191406,240.66512,365.829148487059,597.0
2025-12-05 14:00:00,359.32818603515625,336.3891214974312,131.91954040527344,184.88606,255.78188457195785,524.0
2025-12-05 15:00:00,214.22303771972656,163.86710311444853,50.678836822509766,70.11367,126.52442622437702,394.0
2025-12-05 16:00:00,65.68482971191406,37.01283206294727,16.95174217224121,12.682469,33.597008943056416,222.0
2025-12-05 17:00:00,0.3160831332206726,0.0,10.891392707824707,7.5742083,4.568589936394705,52.0
2025-12-05 18:00:00,0.0,0.0,8.311360359191895,7.036092,3.729404119165979,0.0
2025-12-05 19:00:00,0.0,0.0,7.4071245193481445,8.243932,3.8029020516933727,0.0
2025-12-05 20:00:00,0.0,0.0,6.7899980545043945,8.888738,3.8094640588313657,0.0
2025-12-05 21:00:00,0.0,0.0,6.568150520324707,10.512486,4.149869013254287,0.0
2025-12-05 22:00:00,0.0,0.0,5.6746416091918945,9.707326,3.73710215369961,0.0
2025-12-05 23:00:00,0.21279053390026093,0.0,5.7076311111450195,9.561345,3.764368097508388,0.0
