datetime,XGBoost,RandomForest,LSTM,CNN_LSTM,Ensemble,OpenMeteo_API
2025-12-18 00:00:00,0.2366773933172226,0.0,4.238347053527832,9.121205,3.3064086415923573,0.0
2025-12-18 01:00:00,0.21216155588626862,0.0,0.5192310214042664,8.709111,2.2958453549355706,0.0
2025-12-18 02:00:00,0.0,0.0,0.0,7.00533,1.7012984381894893,0.0
2025-12-18 03:00:00,0.0,0.0,0.0,6.5938616,1.60137013819314,0.0
2025-12-18 04:00:00,0.0,0.0,1.1351826190948486,7.4494066,2.0851283113320305,0.0
2025-12-18 05:00:00,0.0,0.0,1.9091694355010986,10.755544,3.0762187359033555,0.0
2025-12-18 06:00:00,2.303957223892212,0.0,19.739477157592773,38.095554,14.643042759406207,0.0
2025-12-18 07:00:00,58.865543365478516,52.46845633652022,146.574462890625,154.73904,101.82883257437666,0.0
2025-12-18 08:00:00,217.12429809570312,201.2650245264041,321.8726806640625,276.9258,253.0382857556218,51.0
2025-12-18 09:00:00,428.0967712402344,508.7392447220056,419.52471923828125,368.77887,432.32990292873535,182.0
2025-12-18 10:00:00,499.4549865722656,488.7012151596823,456.66107177734375,401.18832,462.42280026366785,336.0
2025-12-18 11:00:00,561.3439331054688,524.1027639099079,426.5953063964844,378.69653,474.6569069564211,478.0
2025-12-18 12:00:00,565.1998901367188,525.2299426903953,347.1437683105469,337.72968,446.67258681652567,489.0
2025-12-18 13:00:00,506.1276550292969,458.5594665025363,257.12823486328125,253.77391,372.0818010580367,449.0
2025-12-18 14:00:00,360.00726318359375,336.38912149743123,141.0800323486328,194.41524,260.49774968142736,368.0
2025-12-18 15:00:00,220.3395233154297,164.0906666666371,52.45000076293945,76.45972,130.12591676616032,265.0
2025-12-18 16:00:00,69.30902862548828,36.993779506286124,17.03590965270996,13.108434,34.64763125010685,142.0
2025-12-18 17:00:00,2.9693448543548584,0.0,10.445454597473145,7.856786,5.210826639151294,33.0
2025-12-18 18:00:00,0.7240719199180603,0.0,7.844212532043457,7.215001,3.8454059555814633,0.0
2025-12-18 19:00:00,0.0,0.0,6.957036018371582,8.193074,3.6811266324768344,0.0
2025-12-18 20:00:00,0.0,0.0,6.1812639236450195,8.827397,3.6465733265956883,0.0
2025-12-18 21:00:00,0.0,0.0,5.4168901443481445,10.39478,3.84139188994589,0.0
2025-12-18 22:00:00,0.0,0.0,4.3665971755981445,9.650273,3.405238339157683,0.0
2025-12-18 23:00:00,0.24777203798294067,0.0,4.5622453689575195,9.39681,3.454938420902897,0.0
