Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,24355,-,-,-,31.55,74.35,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2005,1,1,0,0,0,0,0,0,0,0,-12,13,990,15.51,163.12,1.016,0,340.40000000000003,2.1,0
2005,1,1,1,0,0,0,0,0,0,0,-13,12,990,15.49,171.4,1.079,0,347.5,2,0
2005,1,1,2,0,0,0,0,0,0,0,-13,12,990,15.65,165.28,1.1500000000000001,0,358.70000000000005,1.9000000000000001,0
2005,1,1,3,0,0,0,0,0,0,0,-13,11,990,15.63,153.34,1.207,0,15.700000000000001,1.9000000000000001,0
2005,1,1,4,0,0,0,0,0,0,0,-13,11,990,15.780000000000001,140.65,1.234,0,37.2,1.9000000000000001,0
2005,1,1,5,0,0,0,0,0,0,0,-13,11,990,15.860000000000001,127.89,1.242,0,59.6,2,0
2005,1,1,6,0,0,0,0,0,0,0,8,9,990,98.81,115.3,1.272,0,159.60000000000002,2.8000000000000003,0
2005,1,1,7,0,0,0,0,0,0,0,8,8,990,100,103.01,1.329,0,144.3,2.8000000000000003,0
2005,1,1,8,0,0,0,0,0,0,0,9,9,990,98,91.24,1.395,0,134.1,2.9000000000000004,0
2005,1,1,9,0,73,206,108,73,206,108,9,11,990,94.10000000000001,80.24,1.436,0,133.5,2.7,0
2005,1,1,10,0,134,422,276,134,422,276,10,13,990,85.04,70.41,1.476,0,139.8,2.6,0
2005,1,1,11,0,169,543,421,169,543,421,10,16,990,69.96000000000001,62.34,1.493,0,151.70000000000002,2.6,0
2005,1,1,12,0,218,523,505,187,606,520,9,18,990,56.27,56.79,1.492,0,165.5,2.4000000000000004,0
2005,1,1,13,0,194,629,559,194,629,559,7,19,990,46.42,54.56,1.48,0,179.4,2.1,0
2005,1,1,14,0,190,615,533,190,615,533,6,20,990,40.67,56.03,1.461,0,194.60000000000002,1.8,0
2005,1,1,15,0,174,562,447,174,562,447,5,20,990,38.21,60.95,1.44,0,206.8,1.5,0
2005,1,1,16,0,143,455,310,143,455,310,4,19,990,39.410000000000004,68.57000000000001,1.408,0,217.5,1.3,0
2005,1,1,17,0,100,160,134,89,262,143,5,16,990,49.5,78.08,1.374,0,248.8,1.1,0
2005,1,1,18,0,1,0,1,5,6,5,6,14,990,58.85,88.88,1.343,0,286.8,1.4000000000000001,0
2005,1,1,19,0,0,0,0,0,0,0,4,13,990,53.47,100.52,1.327,0,307.3,1.9000000000000001,0
2005,1,1,20,0,0,0,0,0,0,0,4,13,990,56.95,112.72,1.323,0,317.90000000000003,2.2,0
2005,1,1,21,0,0,0,0,0,0,0,4,12,990,59.61,125.28,1.324,0,322.8,2.5,0
2005,1,1,22,0,0,0,0,0,0,0,4,11,990,63.190000000000005,138.02,1.315,0,323.8,2.7,0
2005,1,1,23,0,0,0,0,0,0,0,4,11,990,67.13,150.75,1.313,0,323.6,2.8000000000000003,0
2005,1,2,0,0,0,0,0,0,0,0,5,10,990,71.3,162.95000000000002,1.315,0,324,2.9000000000000004,0
2005,1,2,1,0,0,0,0,0,0,0,5,9,990,75.32000000000001,171.28,1.318,0,326.40000000000003,2.9000000000000004,0
2005,1,2,2,0,0,0,0,0,0,0,5,9,990,79.23,165.33,1.316,0,330.70000000000005,2.9000000000000004,0
2005,1,2,3,0,0,0,0,0,0,0,5,8,990,82.84,153.42000000000002,1.312,0,332.90000000000003,2.9000000000000004,0
2005,1,2,4,0,0,0,0,0,0,0,5,8,990,86.17,140.74,1.332,0,334,2.8000000000000003,0
2005,1,2,5,0,0,0,0,0,0,0,5,8,990,89.02,127.98,1.354,0,336.3,2.8000000000000003,0
2005,1,2,6,0,0,0,0,0,0,0,5,7,990,91.06,115.36,1.377,0,340.6,2.6,0
2005,1,2,7,0,0,0,0,0,0,0,5,7,990,91.82000000000001,103.07000000000001,1.393,0,344.5,2.3000000000000003,0
2005,1,2,8,0,0,0,0,0,0,0,5,8,990,85.54,91.28,1.4040000000000001,0,346.20000000000005,1.9000000000000001,0
2005,1,2,9,0,82,133,105,73,206,108,6,11,990,70.7,80.26,1.414,0,342.20000000000005,1.4000000000000001,0
2005,1,2,10,0,149,321,257,134,423,276,6,15,990,58.32,70.41,1.4000000000000001,0,322.40000000000003,1,0
2005,1,2,11,0,220,322,370,169,546,423,4,19,990,40.21,62.32,1.3840000000000001,0,282.8,0.5,0
2005,1,2,12,0,224,537,519,188,610,523,4,20,990,34.31,56.74,1.361,0,252.4,0.9,0
2005,1,2,13,0,195,633,563,195,633,563,3,21,990,32.04,54.47,1.328,0,254.3,1.3,0
2005,1,2,14,0,191,621,539,191,621,539,3,21,990,31.53,55.92,1.285,0,262.7,1.5,0
2005,1,2,15,0,175,569,453,175,569,453,3,20,990,32.39,60.82,1.238,0,273.7,1.6,0
2005,1,2,16,0,145,462,315,145,462,315,3,19,990,35.09,68.43,1.215,0,283.8,1.6,0
2005,1,2,17,0,99,217,145,90,268,147,3,16,990,44.24,77.95,1.202,0,292.2,1.7000000000000002,0
2005,1,2,18,0,1,0,1,6,7,6,3,14,990,51.050000000000004,88.74,1.197,0,298,1.9000000000000001,0
2005,1,2,19,0,0,0,0,0,0,0,3,13,990,50.82,100.39,1.202,0,301.6,2.1,0
2005,1,2,20,0,0,0,0,0,0,0,3,13,990,52.6,112.59,1.217,0,301.7,2.2,0
2005,1,2,21,0,0,0,0,0,0,0,2,12,990,53.370000000000005,125.14,1.239,0,300.6,2.2,0
2005,1,2,22,0,0,0,0,0,0,0,2,11,990,55.410000000000004,137.89000000000001,1.2650000000000001,0,298.3,2.3000000000000003,0
2005,1,2,23,0,0,0,0,0,0,0,2,11,990,56.93,150.61,1.296,0,295.7,2.4000000000000004,0
2005,1,3,0,0,0,0,0,0,0,0,2,10,990,58.57,162.81,1.327,0,295.2,2.5,0
2005,1,3,1,0,0,0,0,0,0,0,2,10,990,60.09,171.17000000000002,1.348,0,298.2,2.5,0
2005,1,3,2,0,0,0,0,0,0,0,2,10,990,61.64,165.35,1.359,0,304.6,2.3000000000000003,0
2005,1,3,3,0,0,0,0,0,0,0,2,9,990,63.27,153.48,1.363,0,312,2.1,0
2005,1,3,4,0,0,0,0,0,0,0,2,9,990,64.07000000000001,140.8,1.354,0,318.5,2,0
2005,1,3,5,0,0,0,0,0,0,0,2,9,990,64.03,128.04,1.342,0,324.90000000000003,1.8,0
2005,1,3,6,0,0,0,0,0,0,0,2,9,990,64.35,115.42,1.328,0,330,1.6,0
2005,1,3,7,0,0,0,0,0,0,0,2,9,990,65.7,103.12,1.311,0,332,1.4000000000000001,0
2005,1,3,8,0,0,0,0,0,0,0,2,9,990,64,91.31,1.29,0,329.70000000000005,1.3,0
2005,1,3,9,0,73,208,108,73,208,108,3,12,990,55.11,80.28,1.26,0,325.5,1.1,0
