Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,24355,-,-,-,31.55,74.35,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2013,1,1,0,0,0,0,0,0,0,0,0,9,1000,52.58,163.12,0.772,0,18.8,1.8,0
2013,1,1,1,0,0,0,0,0,0,0,0,8,1000,54.14,171.39000000000001,0.754,0,31.200000000000003,1.7000000000000002,0
2013,1,1,2,0,0,0,0,0,0,0,0,8,1000,55.58,165.28,0.739,0,40.800000000000004,1.6,0
2013,1,1,3,0,0,0,0,0,0,0,0,8,1000,57.34,153.34,0.726,0,44.1,1.6,0
2013,1,1,4,0,0,0,0,0,0,0,0,7,990,59.32,140.65,0.712,0,41.5,1.5,0
2013,1,1,5,0,0,0,0,0,0,0,0,7,990,61.47,127.89,0.6990000000000001,0,35.1,1.5,0
2013,1,1,6,0,0,0,0,0,0,0,-8,9,990,28.34,115.3,0.631,0,16,0.1,0
2013,1,1,7,0,0,0,0,0,0,0,-8,9,990,28.61,103.01,0.637,0,187.3,0.4,0
2013,1,1,8,0,0,0,0,0,0,0,-7,10,990,29.21,91.24,0.642,0,194.70000000000002,0.8,0
2013,1,1,9,0,31,0,31,78,195,111,-7,12,990,26.39,80.23,0.65,0,199.10000000000002,1.2000000000000002,0
2013,1,1,10,0,59,0,59,143,421,284,-7,14,990,22.02,70.41,0.649,0,202.70000000000002,1.2000000000000002,0
2013,1,1,11,0,116,0,116,179,549,434,-7,17,990,18.69,62.33,0.649,0,210.5,1,0
2013,1,1,12,0,231,18,241,198,615,535,-7,20,990,14.76,56.79,0.648,0,223.8,1.3,0
2013,1,1,13,0,221,8,226,205,638,575,-7,22,990,13.1,54.550000000000004,0.641,0,220.20000000000002,1.3,0
2013,1,1,14,0,253,27,269,201,624,550,-7,23,990,12.8,56.03,0.626,0,206.9,1.2000000000000002,0
2013,1,1,15,0,256,149,329,185,569,461,-7,22,990,13.27,60.94,0.602,0,183,0.9,0
2013,1,1,16,0,165,47,183,153,457,320,-7,20,990,14.84,68.56,0.589,0,157.9,0.8,0
2013,1,1,17,0,89,28,95,95,254,148,-3,17,990,25.310000000000002,78.08,0.586,0,152.9,0.9,0
2013,1,1,18,0,1,0,1,5,3,5,-3,14,990,28.39,88.87,0.588,0,163.10000000000002,0.8,0
2013,1,1,19,0,0,0,0,0,0,0,-5,13,990,25.68,100.52,0.584,0,193.20000000000002,0.6000000000000001,0
2013,1,1,20,0,0,0,0,0,0,0,-7,13,990,24.740000000000002,112.72,0.5730000000000001,0,256.7,0.7000000000000001,0
2013,1,1,21,0,0,0,0,0,0,0,-7,12,990,25.47,125.27,0.559,0,280.1,1.2000000000000002,0
2013,1,1,22,0,0,0,0,0,0,0,-7,11,990,26.16,138.01,0.536,0,290.2,1.7000000000000002,0
2013,1,1,23,0,0,0,0,0,0,0,-7,11,990,26.86,150.74,0.515,0,302.3,2,0
2013,1,2,0,0,0,0,0,0,0,0,-7,10,990,27.47,162.95000000000002,0.497,0,315.1,2.2,0
2013,1,2,1,0,0,0,0,0,0,0,-8,9,990,27.98,171.27,0.483,0,325.20000000000005,2.3000000000000003,0
2013,1,2,2,0,0,0,0,0,0,0,-8,9,990,28.490000000000002,165.32,0.47300000000000003,0,330.1,2.3000000000000003,0
2013,1,2,3,0,0,0,0,0,0,0,-8,8,990,29.17,153.42000000000002,0.464,0,332.3,2.4000000000000004,0
2013,1,2,4,0,0,0,0,0,0,0,-8,8,990,29.990000000000002,140.74,0.451,0,335,2.4000000000000004,0
2013,1,2,5,0,0,0,0,0,0,0,-8,7,990,30.85,127.98,0.436,0,337,2.3000000000000003,0
2013,1,2,6,0,0,0,0,0,0,0,-8,7,990,31.92,115.36,0.424,0,338.8,2.1,0
2013,1,2,7,0,0,0,0,0,0,0,-8,6,990,33.09,103.07000000000001,0.41300000000000003,0,340.20000000000005,1.9000000000000001,0
2013,1,2,8,0,0,0,0,0,0,0,-8,7,990,31.38,91.28,0.402,0,339.40000000000003,1.6,0
2013,1,2,9,0,68,22,72,79,203,114,-8,11,990,26.1,80.26,0.393,0,330.20000000000005,1.2000000000000002,0
2013,1,2,10,0,134,8,137,145,435,291,-8,14,990,20.21,70.41,0.393,0,300.40000000000003,0.7000000000000001,0
2013,1,2,11,0,179,6,182,182,564,444,-8,18,990,14.77,62.31,0.394,0,285,0.8,0
2013,1,2,12,0,202,5,205,201,630,547,-9,22,990,11.25,56.730000000000004,0.395,0,279.7,0.9,0
2013,1,2,13,0,200,5,203,208,654,588,-10,22,990,10.07,54.47,0.394,0,271.8,1.2000000000000002,0
2013,1,2,14,0,196,4,199,204,639,562,-11,22,990,9.72,55.92,0.393,0,274,1.4000000000000001,0
2013,1,2,15,0,166,2,167,187,583,472,-11,22,990,9.870000000000001,60.82,0.395,0,284,1.5,0
2013,1,2,16,0,137,4,139,155,470,328,-11,20,990,10.700000000000001,68.42,0.397,0,295.2,1.5,0
2013,1,2,17,0,83,12,86,98,265,153,-9,16,990,16.21,77.94,0.4,0,298.3,1.5,0
2013,1,2,18,0,1,0,1,6,4,6,-8,14,990,20.55,88.73,0.402,0,300.2,1.6,0
2013,1,2,19,0,0,0,0,0,0,0,-10,13,990,18.22,100.38,0.406,0,302.40000000000003,1.8,0
2013,1,2,20,0,0,0,0,0,0,0,-10,12,990,19.78,112.58,0.41300000000000003,0,305.5,2,0
2013,1,2,21,0,0,0,0,0,0,0,-11,11,990,18.84,125.14,0.42,0,307.70000000000005,2.1,0
2013,1,2,22,0,0,0,0,0,0,0,-10,11,990,20.69,137.88,0.425,0,309.40000000000003,2.1,0
2013,1,2,23,0,0,0,0,0,0,0,-12,10,990,19.740000000000002,150.61,0.426,0,310,2.2,0
2013,1,3,0,0,0,0,0,0,0,0,-11,9,990,20.91,162.81,0.422,0,311.1,2.2,0
2013,1,3,1,0,0,0,0,0,0,0,-12,9,990,20.82,171.16,0.41200000000000003,0,314.70000000000005,2.2,0
2013,1,3,2,0,0,0,0,0,0,0,-12,8,990,21.5,165.35,0.399,0,319.5,2,0
2013,1,3,3,0,0,0,0,0,0,0,-13,8,990,21.71,153.48,0.388,0,324.6,1.9000000000000001,0
2013,1,3,4,0,0,0,0,0,0,0,-13,7,990,22.31,140.8,0.38,0,329.8,1.7000000000000002,0
2013,1,3,5,0,0,0,0,0,0,0,-13,7,990,22.89,128.04,0.375,0,337.20000000000005,1.5,0
2013,1,3,6,0,0,0,0,0,0,0,-13,6,990,23.34,115.42,0.375,0,348.3,1.3,0
2013,1,3,7,0,0,0,0,0,0,0,-13,6,990,23.92,103.11,0.376,0,4.2,1.1,0
2013,1,3,8,0,0,0,0,0,0,0,-11,7,990,24.490000000000002,91.31,0.377,0,25.400000000000002,0.8,0
2013,1,3,9,0,64,7,66,79,203,114,-10,11,990,21.400000000000002,80.28,0.38,0,36.1,0.6000000000000001,0
2013,1,3,10,0,139,11,143,145,435,291,-12,14,990,14.63,70.41,0.385,0,50.2,0.1,0
2013,1,3,11,0,185,8,189,182,564,444,-12,19,990,10.76,62.28,0.394,0,267.5,0.30000000000000004,0
2013,1,3,12,0,203,5,206,201,630,548,-12,22,990,9.15,56.67,0.404,0,269.40000000000003,0.4,0
2013,1,3,13,0,232,16,242,208,653,588,-12,23,990,8.44,54.370000000000005,0.417,0,262.3,0.6000000000000001,0
2013,1,3,14,0,277,83,324,203,637,562,-13,23,990,8.07,55.800000000000004,0.433,0,258.6,0.7000000000000001,0
2013,1,3,15,0,242,351,414,187,581,472,-13,22,990,8.040000000000001,60.68,0.453,0,263,0.7000000000000001,0
2013,1,3,16,0,169,356,301,155,469,329,-14,20,990,8.72,68.28,0.464,0,268.1,0.6000000000000001,0
2013,1,3,17,0,103,127,130,98,266,154,-7,16,990,18.64,77.8,0.46900000000000003,0,259.7,0.5,0
2013,1,3,18,0,1,0,1,7,5,7,-8,14,990,20.080000000000002,88.59,0.47100000000000003,0,265.2,0.6000000000000001,0
2013,1,3,19,0,0,0,0,0,0,0,-11,13,990,16.93,100.24000000000001,0.468,0,278.40000000000003,0.8,0
2013,1,3,20,0,0,0,0,0,0,0,-10,12,990,19.61,112.45,0.464,0,292.3,1,0
2013,1,3,21,0,0,0,0,0,0,0,-13,11,990,16.27,125,0.456,0,308.5,1.2000000000000002,0
2013,1,3,22,0,0,0,0,0,0,0,-12,10,990,18.39,137.75,0.455,0,319,1.5,0
2013,1,3,23,0,0,0,0,0,0,0,-14,10,990,16.07,150.47,0.454,0,326.20000000000005,1.9000000000000001,0
2013,1,4,0,0,0,0,0,0,0,0,-14,9,990,17.23,162.66,0.453,0,333.3,2.3000000000000003,0
2013,1,4,1,0,0,0,0,0,0,0,-15,9,990,16.3,171.05,0.452,0,340.90000000000003,2.5,0
2013,1,4,2,0,0,0,0,0,0,0,-15,8,990,17.42,165.37,0.451,0,346.90000000000003,2.6,0
2013,1,4,3,0,0,0,0,0,0,0,-15,8,990,17.3,153.53,0.449,0,351.90000000000003,2.5,0
2013,1,4,4,0,0,0,0,0,0,0,-15,7,990,18.900000000000002,140.86,0.438,0,357.5,2.3000000000000003,0
2013,1,4,5,0,0,0,0,0,0,0,-15,7,990,19.28,128.09,0.427,0,1.8,2,0
2013,1,4,6,0,0,0,0,0,0,0,-14,6,990,20.44,115.47,0.42,0,2.1,1.7000000000000002,0
2013,1,4,7,0,0,0,0,0,0,0,-13,6,990,22.54,103.16,0.41400000000000003,0,356.70000000000005,1.4000000000000001,0
2013,1,4,8,0,0,0,0,0,0,0,-13,7,990,22.5,91.34,0.40700000000000003,0,346.70000000000005,1.3,0
2013,1,4,9,0,64,11,66,79,202,113,-10,11,990,20.77,80.29,0.4,0,337,1.3,0
2013,1,4,10,0,124,3,126,145,435,291,-11,14,990,15.18,70.4,0.394,0,327.20000000000005,1.1,0
2013,1,4,11,0,164,3,166,182,565,445,-14,19,990,9.49,62.25,0.386,0,324,1.6,0
2013,1,4,12,0,177,1,178,202,633,550,-16,21,990,6.79,56.61,0.375,0,327.6,2.1,0
2013,1,4,13,0,172,0,172,209,658,593,-16,22,990,6.21,54.27,0.36,0,331.20000000000005,2.1,0
2013,1,4,14,0,172,3,174,205,646,569,-17,22,990,6,55.67,0.342,0,333.8,2.1,0
2013,1,4,15,0,183,5,186,189,593,481,-17,21,990,6.07,60.54,0.32,0,336.3,2.2,0
2013,1,4,16,0,120,0,120,158,483,338,-17,20,990,6.5600000000000005,68.14,0.294,0,336.5,2.2,0
2013,1,4,17,0,57,0,57,101,281,161,-14,16,990,10.91,77.65,0.269,0,328.6,2,0
2013,1,4,18,0,2,0,2,8,6,8,-15,13,990,12.370000000000001,88.44,0.251,0,315.70000000000005,2.2,0
2013,1,4,19,0,0,0,0,0,0,0,-16,12,990,12.34,100.10000000000001,0.23900000000000002,0,305.8,2.6,0
2013,1,4,20,0,0,0,0,0,0,0,-17,11,990,11.700000000000001,112.31,0.231,0,300,3,0
2013,1,4,21,0,0,0,0,0,0,0,-17,10,990,12.06,124.87,0.225,0,297.1,3.3000000000000003,0
2013,1,4,22,0,0,0,0,0,0,0,-18,9,990,12.59,137.61,0.224,0,297.7,3.4000000000000004,0
2013,1,4,23,0,0,0,0,0,0,0,-18,9,990,13.31,150.33,0.224,0,302,3.4000000000000004,0
2013,1,5,0,0,0,0,0,0,0,0,-18,8,990,14.14,162.52,0.225,0,309.40000000000003,3.3000000000000003,0
2013,1,5,1,0,0,0,0,0,0,0,-18,7,990,14.99,170.92000000000002,0.228,0,318.3,3.2,0
2013,1,5,2,0,0,0,0,0,0,0,-17,6,990,15.83,165.38,0.231,0,326.1,3.1,0
2013,1,5,3,0,0,0,0,0,0,0,-17,6,990,16.66,153.58,0.23600000000000002,0,333.1,2.9000000000000004,0
2013,1,5,4,0,0,0,0,0,0,0,-17,5,990,17.47,140.91,0.254,0,337.5,2.7,0
2013,1,5,5,0,0,0,0,0,0,0,-17,5,990,18.27,128.15,0.27,0,338.1,2.5,0
2013,1,5,6,0,0,0,0,0,0,0,-17,5,990,19.21,115.52,0.28600000000000003,0,336.20000000000005,2.2,0
2013,1,5,7,0,0,0,0,0,0,0,-16,4,990,20.47,103.19,0.302,0,334.6,2,0
2013,1,5,8,0,0,0,0,0,0,0,-15,6,990,20.98,91.37,0.316,0,334.3,1.7000000000000002,0
2013,1,5,9,0,68,14,71,80,205,114,-14,10,990,16.63,80.3,0.33,0,327,1.3,0
