Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,24355,-,-,-,31.55,74.35,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2014,1,1,0,0,0,0,0,0,0,0,-20,10,990,9.700000000000001,163.15,0.338,0,36.5,2,0
2014,1,1,1,0,0,0,0,0,0,0,-19,10,990,10.5,171.42000000000002,0.352,0,33.4,2,0
2014,1,1,2,0,0,0,0,0,0,0,-19,9,990,11.33,165.27,0.369,0,28.5,1.8,0
2014,1,1,3,0,0,0,0,0,0,0,-18,9,990,12.25,153.33,0.387,0,25.1,1.7000000000000002,0
2014,1,1,4,0,0,0,0,0,0,0,-18,9,990,13.26,140.63,0.41000000000000003,0,21.200000000000003,1.6,0
2014,1,1,5,0,0,0,0,0,0,0,-17,8,990,14.32,127.87,0.433,0,16.900000000000002,1.6,0
2014,1,1,6,0,0,0,0,0,0,0,0,6,990,63.42,115.29,0.6900000000000001,0,26.3,1.5,0
2014,1,1,7,0,0,0,0,0,0,0,0,6,1000,65.34,103,0.683,0,18.1,1.5,0
2014,1,1,8,0,0,0,0,0,0,0,0,7,1000,61.82,91.22,0.677,0,11.200000000000001,1.4000000000000001,0
2014,1,1,9,0,82,139,106,74,234,114,0,11,1000,48.32,80.23,0.672,0,1.6,1.3,0
2014,1,1,10,0,148,406,285,137,447,287,0,14,1000,38.04,70.4,0.681,0,338.8,1,0
2014,1,1,11,0,181,522,424,174,566,436,-1,19,1000,25.76,62.34,0.6900000000000001,0,333.90000000000003,1.4000000000000001,0
2014,1,1,12,0,197,602,527,193,628,537,-2,21,1000,21.330000000000002,56.800000000000004,0.6930000000000001,0,330.20000000000005,1.6,0
2014,1,1,13,0,205,617,563,200,650,577,-3,21,1000,19.14,54.57,0.683,0,326.70000000000005,1.9000000000000001,0
2014,1,1,14,0,201,601,537,196,636,551,-3,21,1000,18.02,56.050000000000004,0.665,0,325.8,2.2,0
2014,1,1,15,0,183,556,453,179,585,463,-4,21,1000,17.92,60.980000000000004,0.64,0,329.8,2.3000000000000003,0
2014,1,1,16,0,158,433,317,147,481,322,-4,19,990,18.88,68.59,0.612,0,334.8,2.4000000000000004,0
2014,1,1,17,0,101,158,134,90,291,150,-4,16,990,23.150000000000002,78.11,0.588,0,334.90000000000003,2.3000000000000003,0
2014,1,1,18,0,1,0,1,6,13,6,-5,13,1000,27.34,88.91,0.5670000000000001,0,332.1,2.5,0
2014,1,1,19,0,0,0,0,0,0,0,-5,13,1000,28.61,100.55,0.549,0,329,2.7,0
2014,1,1,20,0,0,0,0,0,0,0,-5,12,1000,29.650000000000002,112.75,0.538,0,326.8,2.9000000000000004,0
2014,1,1,21,0,0,0,0,0,0,0,-5,11,1000,30.59,125.31,0.535,0,324.6,3.1,0
2014,1,1,22,0,0,0,0,0,0,0,-5,10,1000,31.34,138.05,0.534,0,323.5,3.2,0
