Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,24355,-,-,-,31.55,74.35,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2002,1,1,0,0,0,0,0,0,0,0,-4,12,990,32.96,163.16,0.529,0,276.8,3.3000000000000003,0
2002,1,1,1,0,0,0,0,0,0,0,-4,11,990,34.21,171.42000000000002,0.511,0,281.40000000000003,3,0
2002,1,1,2,0,0,0,0,0,0,0,-4,10,990,35.32,165.28,0.5,0,285.40000000000003,2.6,0
2002,1,1,3,0,0,0,0,0,0,0,-4,9,990,36.17,153.33,0.494,0,290.8,2.3000000000000003,0
2002,1,1,4,0,0,0,0,0,0,0,-5,9,990,36.74,140.63,0.497,0,295.2,2,0
2002,1,1,5,0,0,0,0,0,0,0,-5,9,990,37.12,127.87,0.504,0,294.8,1.8,0
2002,1,1,6,0,0,0,0,0,0,0,-6,10,990,31.55,115.29,0.642,0,317.8,0.9,0
2002,1,1,7,0,0,0,0,0,0,0,-6,9,1000,32.17,103,0.669,0,330.90000000000003,0.8,0
2002,1,1,8,0,0,0,0,0,0,0,-6,10,1000,30.54,91.23,0.6910000000000001,0,344.3,0.6000000000000001,0
2002,1,1,9,0,56,0,56,76,214,112,-6,14,1000,24.25,80.23,0.709,0,27.900000000000002,0.30000000000000004,0
2002,1,1,10,0,137,10,141,140,430,285,-6,17,1000,19.53,70.41,0.724,0,120.7,0.30000000000000004,0
2002,1,1,11,0,158,2,159,177,551,433,-6,21,1000,15.08,62.34,0.746,0,224.3,0.30000000000000004,0
2002,1,1,12,0,147,0,147,197,613,533,-6,24,1000,12,56.800000000000004,0.774,0,281,0.9,0
2002,1,1,13,0,159,0,159,204,634,571,-7,26,1000,10.85,54.58,0.808,0,285.5,1.1,0
2002,1,1,14,0,194,3,196,199,618,544,-7,26,1000,10.43,56.06,0.845,0,291.2,1.1,0
2002,1,1,15,0,168,2,169,182,563,455,-7,25,990,10.61,60.980000000000004,0.882,0,301.6,0.8,0
2002,1,1,16,0,148,25,158,149,454,315,-8,23,990,11.63,68.60000000000001,0.911,0,322.6,0.6000000000000001,0
2002,1,1,17,0,31,0,31,91,261,145,-8,19,990,14.82,78.12,0.931,0,350.1,0.5,0
2002,1,1,18,0,1,0,1,5,7,5,-8,17,990,17.09,88.91,0.9390000000000001,0,6.2,0.5,0
2002,1,1,19,0,0,0,0,0,0,0,-8,16,1000,18.06,100.56,0.935,0,0.7000000000000001,0.5,0
2002,1,1,20,0,0,0,0,0,0,0,-8,16,1000,18.96,112.76,0.922,0,345.8,0.7000000000000001,0
2002,1,1,21,0,0,0,0,0,0,0,-8,15,1000,19.84,125.31,0.907,0,330.90000000000003,0.9,0
2002,1,1,22,0,0,0,0,0,0,0,-8,14,1000,20.740000000000002,138.05,0.9,0,321.20000000000005,1.1,0
2002,1,1,23,0,0,0,0,0,0,0,-8,13,1000,21.66,150.78,0.896,0,318.3,1.3,0
2002,1,2,0,0,0,0,0,0,0,0,-8,13,1000,22.52,162.99,0.894,0,317.90000000000003,1.5,0
2002,1,2,1,0,0,0,0,0,0,0,-8,12,1000,23.39,171.3,0.893,0,318.6,1.5,0
2002,1,2,2,0,0,0,0,0,0,0,-8,12,1000,24.14,165.32,0.896,0,320.1,1.6,0
2002,1,2,3,0,0,0,0,0,0,0,-8,11,1000,24.86,153.41,0.9,0,322.20000000000005,1.6,0
2002,1,2,4,0,0,0,0,0,0,0,-7,11,1000,25.810000000000002,140.72,0.903,0,323,1.5,0
2002,1,2,5,0,0,0,0,0,0,0,-7,10,1000,26.78,127.96000000000001,0.899,0,319.70000000000005,1.3,0
2002,1,2,6,0,0,0,0,0,0,0,-7,10,1000,27.77,115.35000000000001,0.892,0,310.20000000000005,1.2000000000000002,0
2002,1,2,7,0,0,0,0,0,0,0,-7,10,1000,28.71,103.06,0.892,0,301.1,1.2000000000000002,0
2002,1,2,8,0,0,0,0,0,0,0,-7,10,1000,27.32,91.27,0.895,0,298.8,1.3,0
2002,1,2,9,0,80,49,89,75,209,110,-7,14,1000,21.61,80.26,0.898,0,302.1,1.3,0
2002,1,2,10,0,162,181,223,140,423,282,-7,17,1000,17.43,70.41,0.894,0,303.3,1.1,0
2002,1,2,11,0,210,30,224,177,546,430,-7,21,1000,13.4,62.32,0.888,0,302.3,1.6,0
2002,1,2,12,0,263,70,302,196,609,531,-8,25,1000,10.86,56.75,0.884,0,305,2.2,0
2002,1,2,13,0,271,445,530,203,632,570,-8,26,1000,9.93,54.5,0.883,0,305,2.4000000000000004,0
2002,1,2,14,0,292,257,436,199,618,545,-8,26,1000,9.64,55.95,0.884,0,303.8,2.5,0
2002,1,2,15,0,182,564,457,182,564,457,-8,25,1000,9.950000000000001,60.86,0.883,0,302.40000000000003,2.4000000000000004,0
2002,1,2,16,0,149,457,317,149,457,317,-8,24,1000,10.950000000000001,68.47,0.892,0,299.90000000000003,2.3000000000000003,0
2002,1,2,17,0,100,213,145,92,265,148,-8,20,1000,13.88,77.98,0.899,0,294.5,2.2,0
2002,1,2,18,0,1,0,1,6,8,6,-8,17,1000,16.44,88.78,0.904,0,291.1,2.2,0
2002,1,2,19,0,0,0,0,0,0,0,-8,16,1000,17.51,100.42,0.907,0,291.40000000000003,2.2,0
2002,1,2,20,0,0,0,0,0,0,0,-8,16,1000,18.6,112.62,0.914,0,293.90000000000003,2.2,0
2002,1,2,21,0,0,0,0,0,0,0,-8,15,1000,19.61,125.18,0.924,0,295.3,2.2,0
2002,1,2,22,0,0,0,0,0,0,0,-8,14,1000,20.6,137.92000000000002,0.926,0,295.90000000000003,2.3000000000000003,0
2002,1,2,23,0,0,0,0,0,0,0,-8,14,1000,21.56,150.65,0.931,0,296.6,2.3000000000000003,0
2002,1,3,0,0,0,0,0,0,0,0,-8,13,1000,22.6,162.85,0.9400000000000001,0,298.5,2.4000000000000004,0
2002,1,3,1,0,0,0,0,0,0,0,-7,12,1000,23.62,171.20000000000002,0.9510000000000001,0,301.7,2.4000000000000004,0
2002,1,3,2,0,0,0,0,0,0,0,-7,12,1000,24.61,165.35,0.961,0,307.1,2.4000000000000004,0
2002,1,3,3,0,0,0,0,0,0,0,-7,11,1000,25.66,153.47,0.967,0,312,2.2,0
2002,1,3,4,0,0,0,0,0,0,0,-7,11,1000,26.64,140.79,0.966,0,314.6,1.9000000000000001,0
2002,1,3,5,0,0,0,0,0,0,0,-7,10,1000,27.52,128.02,0.962,0,313.5,1.5,0
2002,1,3,6,0,0,0,0,0,0,0,-7,10,1000,28.37,115.41,0.9530000000000001,0,305.1,1,0
2002,1,3,7,0,0,0,0,0,0,0,-7,10,1000,29.17,103.10000000000001,0.9420000000000001,0,286.90000000000003,0.8,0
2002,1,3,8,0,0,0,0,0,0,0,-7,10,1000,27.72,91.31,0.931,0,269.90000000000003,0.7000000000000001,0
2002,1,3,9,0,78,33,84,74,208,110,-7,14,1000,22.23,80.28,0.921,0,284.40000000000003,0.6000000000000001,0
2002,1,3,10,0,158,51,176,139,423,281,-7,17,1000,18.240000000000002,70.42,0.919,0,315,0.5,0
2002,1,3,11,0,234,97,280,176,545,430,-7,21,1000,14.07,62.300000000000004,0.916,0,318.1,1,0
2002,1,3,12,0,259,412,486,196,609,531,-7,24,1000,11.870000000000001,56.7,0.911,0,315.40000000000003,1.5,0
2002,1,3,13,0,246,516,547,203,632,571,-7,25,990,11.11,54.410000000000004,0.906,0,310.90000000000003,1.7000000000000002,0
2002,1,3,14,0,283,347,478,199,618,547,-7,25,990,11,55.84,0.9,0,306.5,1.8,0
2002,1,3,15,0,183,565,459,183,565,459,-7,25,990,11.33,60.730000000000004,0.897,0,301.2,1.8,0
2002,1,3,16,0,162,426,320,150,459,320,-7,23,990,12.31,68.33,0.891,0,296.1,1.8,0
2002,1,3,17,0,105,175,142,93,269,150,-7,20,990,15.55,77.84,0.888,0,291.3,1.6,0
2002,1,3,18,0,1,0,1,7,10,7,-7,17,990,18.240000000000002,88.63,0.887,0,289.7,1.3,0
2002,1,3,19,0,0,0,0,0,0,0,-7,16,990,19.32,100.28,0.886,0,293.5,0.9,0
2002,1,3,20,0,0,0,0,0,0,0,-7,16,1000,20.32,112.49000000000001,0.884,0,313.90000000000003,0.5,0
2002,1,3,21,0,0,0,0,0,0,0,-7,15,1000,21.31,125.04,0.88,0,8.5,0.4,0
2002,1,3,22,0,0,0,0,0,0,0,-7,14,990,22.35,137.79,0.873,0,37.800000000000004,0.5,0
2002,1,3,23,0,0,0,0,0,0,0,-7,13,990,23.34,150.51,0.864,0,45.1,0.6000000000000001,0
2002,1,4,0,0,0,0,0,0,0,0,-7,13,990,24.35,162.71,0.855,0,42.300000000000004,0.6000000000000001,0
2002,1,4,1,0,0,0,0,0,0,0,-7,12,990,25.310000000000002,171.09,0.847,0,28,0.4,0
2002,1,4,2,0,0,0,0,0,0,0,-7,12,990,25.57,165.37,0.841,0,355.5,0.30000000000000004,0
2002,1,4,3,0,0,0,0,0,0,0,-7,11,990,26.3,153.52,0.835,0,329.20000000000005,0.5,0
2002,1,4,4,0,0,0,0,0,0,0,-7,11,990,27.13,140.85,0.8290000000000001,0,327.70000000000005,0.7000000000000001,0
