Model,R2_Train,R2_Test,MAE_Test,RMSE_Test
XGBoost,0.9952705503906674,0.9846174305412998,21.87674813468163,33.61392425400406
Random Forest,0.9930378400803482,0.9841011816773529,21.91406831630311,34.17332194184329
LSTM,0.8872585130232539,0.839106188344397,77.11342332745076,108.71123885801333
CNN-LSTM,0.8803058531948066,0.8363926747485652,78.16408334883519,109.6241267849735
