datetime,XGBoost,RandomForest,LSTM,CNN_LSTM
2025-10-25 22:00:00,207.29324,219.7020038832355,85.06985,71.5089
2025-10-25 23:00:00,-22.833721,30.921238678339424,85.06982,71.5089
2025-10-26 00:00:00,817.744,891.0829849481439,85.069786,71.5089
2025-10-26 01:00:00,842.97406,899.8999426955784,85.06982,71.5089
2025-10-26 02:00:00,834.5179,909.1971478267575,85.06982,71.50887
2025-10-26 03:00:00,711.8602,778.1576735524374,85.06982,71.5089
2025-10-26 04:00:00,480.27264,597.632526032866,85.06985,71.5089
2025-10-26 05:00:00,120.985435,71.37940221606763,85.06982,71.5089
2025-10-26 06:00:00,116.36499,98.16116332290204,85.06982,71.5089
2025-10-26 07:00:00,204.32178,54.453031850496146,85.06982,71.5089
2025-10-26 08:00:00,712.6177,760.8004793097346,85.06982,71.5089
2025-10-26 09:00:00,606.2021,735.6276209424564,85.06982,71.5089
2025-10-26 10:00:00,533.46484,734.5097424871351,85.06982,71.50887
2025-10-26 11:00:00,449.28467,501.6335571168104,85.06982,71.50887
2025-10-26 12:00:00,559.82245,593.3807853342897,85.06982,71.5089
2025-10-26 13:00:00,558.93207,559.1512401327636,85.06982,71.50887
2025-10-26 14:00:00,418.12122,379.1096750574363,85.06982,71.5089
2025-10-26 15:00:00,152.78215,206.29256393552785,85.06982,71.5089
2025-10-26 16:00:00,272.7776,203.0490972037429,85.06982,71.50887
2025-10-26 17:00:00,-44.1641,96.84765314745268,85.06982,71.5089
2025-10-26 18:00:00,-63.22585,94.9746308211015,85.06982,71.5089
2025-10-26 19:00:00,-71.96244,95.45102935057821,85.06982,71.50887
2025-10-26 20:00:00,-30.681635,86.84644330840467,85.06982,71.5089
2025-10-26 21:00:00,-86.41634,40.573217037980804,85.06982,71.50887
2025-10-26 22:00:00,216.91072,285.8419972005848,85.06982,71.5089
2025-10-26 23:00:00,-34.0283,29.036661107736055,85.06982,71.50887
2025-10-27 00:00:00,805.8607,891.7105180147562,85.06985,71.5089
2025-10-27 01:00:00,804.70215,891.5900690356592,85.06982,71.5089
2025-10-27 02:00:00,850.40656,894.5604874711967,85.06982,71.50887
2025-10-27 03:00:00,729.709,823.9629901405682,85.06985,71.5089
2025-10-27 04:00:00,535.0219,666.6955739065481,85.06985,71.5089
2025-10-27 05:00:00,81.03814,55.90600505396126,85.06982,71.50887
2025-10-27 06:00:00,116.27696,55.941603859281074,85.06985,71.50887
2025-10-27 07:00:00,240.21565,180.6115066306509,85.06982,71.5089
2025-10-27 08:00:00,769.48486,855.8120098717088,85.06982,71.50887
2025-10-27 09:00:00,572.5025,736.5027688909177,85.06982,71.5089
2025-10-27 10:00:00,494.85815,669.227045180899,85.06982,71.5089
2025-10-27 11:00:00,442.2706,413.33516773397787,85.06982,71.5089
2025-10-27 12:00:00,561.92316,586.4423210532553,85.06982,71.50887
2025-10-27 13:00:00,505.06485,506.4940082532987,85.06982,71.50887
2025-10-27 14:00:00,411.04422,395.3032130739569,85.06982,71.50887
2025-10-27 15:00:00,48.188267,130.62129913465708,85.06982,71.5089
2025-10-27 16:00:00,327.28302,301.9465654700253,85.06982,71.50887
2025-10-27 17:00:00,-36.671505,96.2965770525328,85.06982,71.5089
2025-10-27 18:00:00,-35.742443,94.84144658220858,85.06982,71.5089
2025-10-27 19:00:00,-56.630836,94.47609322781885,85.06982,71.5089
2025-10-27 20:00:00,-18.019506,86.36517798703143,85.06982,71.50887
2025-10-27 21:00:00,-78.520004,40.459223159730215,85.06982,71.5089
2025-10-27 22:00:00,177.03114,287.6755963233628,85.06982,71.5089
2025-10-27 23:00:00,-35.42106,29.30712213622369,85.06982,71.50884
2025-10-28 00:00:00,782.1973,908.641653716369,85.06982,71.50887
2025-10-28 01:00:00,703.4333,910.7034271947775,85.06982,71.5089
2025-10-28 02:00:00,857.70935,892.1861521558031,85.06982,71.50887
2025-10-28 03:00:00,750.5952,843.4308624162624,85.06982,71.5089
2025-10-28 04:00:00,596.7107,717.2346823164889,85.06982,71.5089
2025-10-28 05:00:00,60.280113,54.575778670504796,85.06982,71.5089
2025-10-28 06:00:00,120.355255,58.08841380330905,85.06982,71.5089
2025-10-28 07:00:00,218.40564,213.4338833629829,85.06985,71.5089
2025-10-28 08:00:00,738.08594,910.5385898750435,85.06985,71.50887
2025-10-28 09:00:00,524.99023,728.6152415256921,85.06985,71.50887
2025-10-28 10:00:00,437.95978,624.6664546663935,85.06982,71.50887
2025-10-28 11:00:00,414.1013,413.7949424433955,85.06982,71.50887
2025-10-28 12:00:00,550.87524,586.7418917239744,85.06982,71.50887
2025-10-28 13:00:00,424.4688,482.7129168286613,85.06982,71.50887
2025-10-28 14:00:00,399.56897,387.0842978360126,85.06982,71.5089
2025-10-28 15:00:00,-58.066643,91.7154020184063,85.06982,71.5089
2025-10-28 16:00:00,336.39636,364.60322230966335,85.06982,71.5089
2025-10-28 17:00:00,-34.91842,97.32062692663803,85.06985,71.50887
2025-10-28 18:00:00,-36.099674,96.11375072483867,85.06982,71.50887
2025-10-28 19:00:00,-56.797985,89.69799485376546,85.06982,71.50887
2025-10-28 20:00:00,-15.010238,86.81873383784726,85.06985,71.5089
2025-10-28 21:00:00,-26.606619,40.486180576185376,85.06982,71.50887
2025-10-28 22:00:00,155.11433,261.5539955206213,85.06982,71.50887
2025-10-28 23:00:00,-12.245957,28.38960276000175,85.06982,71.5089
2025-10-29 00:00:00,766.23834,907.3762211620738,85.06982,71.5089
2025-10-29 01:00:00,670.5503,848.2699592011435,85.06982,71.50887
