Model,R2_Train,R2_Test,MAE_Test,RMSE_Test
XGBoost,0.9980924171487822,0.9933451243489144,9.69296119068359,22.62065400643424
Random Forest,0.9963013550996657,0.9932541122472844,9.87636480549893,22.774808810684668
LSTM,0.9876354044783235,0.9872604015142761,20.186656273614226,31.297745509755163
CNN-LSTM,0.9891043119817949,0.9896434397732139,17.007605053969478,28.219086587201932
