Model,R2_Train,R2_Test,MAE_Test,RMSE_Test
XGBoost,0.9952554606021776,0.9848023505428924,21.148956212409313,33.41127017227367
Random Forest,0.9930378400803482,0.9841011816773529,21.91406831630311,34.17332194184329
LSTM,0.8767431016238478,0.8467216859768387,77.81696598837658,106.10726785635683
CNN-LSTM,0.8832686776139089,0.8418649840272561,77.83534567132126,107.77519023177565
