Model,R2_Train,R2_Test,MAE_Test,RMSE_Test
XGBoost,0.9981157410563382,0.9935565325533756,9.492461091425051,22.258454389587165
Random Forest,0.9963051395499253,0.9932525956215742,9.881725765923425,22.777368808766724
LSTM,0.949359701930502,0.9366506761749804,36.73677632213002,69.79208558038502
CNN-LSTM,0.9502410172667123,0.9446322250582933,33.189455577401944,65.24747656246018
